timestamp,asset_id,oscillation_frequency,hydraulic_pressure,mould_level_dev,oil_temperature
2026-04-01 00:00,CCM-OSC-05,154.88,127.44,0.97,45.03
2026-04-01 01:00,CCM-OSC-05,151.67,127.83,0.67,46.41
2026-04-01 02:00,CCM-OSC-05,157.68,130.17,-0.19,44.73
2026-04-01 03:00,CCM-OSC-05,158.5,128.22,0.92,46.69
2026-04-01 04:00,CCM-OSC-05,161.18,131.32,0.92,47.04
2026-04-01 05:00,CCM-OSC-05,167.19,136.48,0.75,48.86
2026-04-01 06:00,CCM-OSC-05,171.22,138.36,1.15,47.99
2026-04-01 07:00,CCM-OSC-05,172.44,135.28,1.01,47.19
2026-04-01 08:00,CCM-OSC-05,157.78,136.98,-0.36,47.59
2026-04-01 09:00,CCM-OSC-05,159.58,130.59,1.19,48.56
2026-04-01 10:00,CCM-OSC-05,140.54,132.74,0.36,45.5
2026-04-01 11:00,CCM-OSC-05,161.12,121.04,-0.8,43.86
2026-04-01 12:00,CCM-OSC-05,163.65,127.68,-0.36,44.34
2026-04-01 13:00,CCM-OSC-05,140.24,121.97,0.49,45.18
2026-04-01 14:00,CCM-OSC-05,129.98,114.11,-0.8,43.44
2026-04-01 15:00,CCM-OSC-05,147.26,121.0,-0.92,41.4
2026-04-01 16:00,CCM-OSC-05,130.76,121.27,-0.96,42.06
2026-04-01 17:00,CCM-OSC-05,138.71,122.92,-0.99,42.98
2026-04-01 18:00,CCM-OSC-05,127.58,109.74,-1.32,41.27
2026-04-01 19:00,CCM-OSC-05,133.04,114.42,-0.82,43.1
2026-04-01 20:00,CCM-OSC-05,140.59,114.74,-1.35,42.14
2026-04-01 21:00,CCM-OSC-05,152.5,116.68,-0.83,43.66
2026-04-01 22:00,CCM-OSC-05,136.57,125.55,-1.22,42.03
2026-04-01 23:00,CCM-OSC-05,150.94,129.95,-0.45,45.9
2026-04-02 00:00,CCM-OSC-05,149.71,122.78,0.52,45.41
2026-04-02 01:00,CCM-OSC-05,164.39,126.38,0.51,44.83
2026-04-02 02:00,CCM-OSC-05,169.15,125.18,-0.04,45.48
2026-04-02 03:00,CCM-OSC-05,157.82,129.6,0.81,45.12
2026-04-02 04:00,CCM-OSC-05,164.05,131.23,0.7,46.36
2026-04-02 05:00,CCM-OSC-05,167.35,139.41,1.36,48.71
2026-04-02 06:00,CCM-OSC-05,159.54,137.87,1.59,47.69
2026-04-02 07:00,CCM-OSC-05,162.61,135.63,1.62,47.36
2026-04-02 08:00,CCM-OSC-05,166.88,136.15,1.6,46.3
2026-04-02 09:00,CCM-OSC-05,167.57,132.44,0.39,44.92
2026-04-02 10:00,CCM-OSC-05,157.75,130.86,0.55,47.11
2026-04-02 11:00,CCM-OSC-05,157.26,131.08,0.34,45.14
2026-04-02 12:00,CCM-OSC-05,146.85,125.15,-0.17,45.64
2026-04-02 13:00,CCM-OSC-05,145.97,122.47,-0.27,44.6
2026-04-02 14:00,CCM-OSC-05,119.77,126.69,-0.3,45.03
2026-04-02 15:00,CCM-OSC-05,129.83,116.43,-1.09,43.63
2026-04-02 16:00,CCM-OSC-05,139.09,116.07,-0.86,42.66
2026-04-02 17:00,CCM-OSC-05,133.87,113.23,-1.66,41.99
2026-04-02 18:00,CCM-OSC-05,147.43,113.42,-1.07,43.67
2026-04-02 19:00,CCM-OSC-05,131.17,116.54,-0.54,41.78
2026-04-02 20:00,CCM-OSC-05,124.74,111.24,-1.53,43.06
2026-04-02 21:00,CCM-OSC-05,141.62,124.59,-0.7,41.37
2026-04-02 22:00,CCM-OSC-05,139.1,117.79,-0.45,43.43
2026-04-02 23:00,CCM-OSC-05,146.74,127.23,0.08,42.79
2026-04-03 00:00,CCM-OSC-05,150.25,119.53,0.24,43.71
2026-04-03 01:00,CCM-OSC-05,152.67,132.11,-0.04,46.59
2026-04-03 02:00,CCM-OSC-05,162.16,128.32,0.89,46.55
2026-04-03 03:00,CCM-OSC-05,180.56,136.47,1.02,46.91
2026-04-03 04:00,CCM-OSC-05,152.66,130.95,0.89,45.97
2026-04-03 05:00,CCM-OSC-05,165.67,134.38,0.8,47.95
2026-04-03 06:00,CCM-OSC-05,170.67,127.2,0.73,49.08
2026-04-03 07:00,CCM-OSC-05,163.48,126.63,2.0,47.66
2026-04-03 08:00,CCM-OSC-05,163.1,135.66,1.89,45.84
2026-04-03 09:00,CCM-OSC-05,165.01,127.95,0.34,47.54
2026-04-03 10:00,CCM-OSC-05,161.58,125.61,0.42,47.34
2026-04-03 11:00,CCM-OSC-05,162.5,127.68,-0.33,44.7
2026-04-03 12:00,CCM-OSC-05,152.73,127.6,0.36,44.68
2026-04-03 13:00,CCM-OSC-05,138.56,120.02,-1.31,45.09
2026-04-03 14:00,CCM-OSC-05,135.06,119.19,-0.15,44.04
2026-04-03 15:00,CCM-OSC-05,135.02,124.03,-1.18,44.37
2026-04-03 16:00,CCM-OSC-05,149.42,118.65,-1.74,44.7
2026-04-03 17:00,CCM-OSC-05,126.29,121.35,-1.94,43.42
2026-04-03 18:00,CCM-OSC-05,130.76,117.7,-0.07,42.09
2026-04-03 19:00,CCM-OSC-05,131.25,112.93,-1.9,42.36
2026-04-03 20:00,CCM-OSC-05,135.81,120.2,-1.3,43.86
2026-04-03 21:00,CCM-OSC-05,148.56,113.87,-1.25,42.29
2026-04-03 22:00,CCM-OSC-05,150.4,117.96,0.47,44.67
2026-04-03 23:00,CCM-OSC-05,147.94,120.43,-0.05,44.99
2026-04-04 00:00,CCM-OSC-05,146.32,115.37,-0.53,47.3
2026-04-04 01:00,CCM-OSC-05,172.16,123.08,0.53,45.91
2026-04-04 02:00,CCM-OSC-05,163.2,127.82,-0.1,46.14
2026-04-04 03:00,CCM-OSC-05,165.51,132.33,0.86,45.37
2026-04-04 04:00,CCM-OSC-05,154.71,138.28,1.6,47.33
2026-04-04 05:00,CCM-OSC-05,161.5,135.08,0.63,46.82
2026-04-04 06:00,CCM-OSC-05,167.2,131.79,1.43,47.5
2026-04-04 07:00,CCM-OSC-05,161.48,134.11,0.85,48.12
2026-04-04 08:00,CCM-OSC-05,173.63,131.82,0.61,48.14
2026-04-04 09:00,CCM-OSC-05,167.07,134.76,0.74,46.43
2026-04-04 10:00,CCM-OSC-05,156.38,125.8,0.43,44.52
2026-04-04 11:00,CCM-OSC-05,161.45,129.57,1.34,45.65
2026-04-04 12:00,CCM-OSC-05,152.75,126.24,0.57,45.29
2026-04-04 13:00,CCM-OSC-05,143.83,124.75,-0.97,44.08
2026-04-04 14:00,CCM-OSC-05,144.55,117.94,-0.65,43.46
2026-04-04 15:00,CCM-OSC-05,124.38,107.15,-0.88,44.61
2026-04-04 16:00,CCM-OSC-05,127.27,116.65,-0.56,42.1
2026-04-04 17:00,CCM-OSC-05,130.83,119.09,-1.15,42.74
2026-04-04 18:00,CCM-OSC-05,138.53,114.66,-1.13,42.74
2026-04-04 19:00,CCM-OSC-05,119.8,116.62,-1.05,42.53
2026-04-04 20:00,CCM-OSC-05,130.51,120.27,-0.98,44.7
2026-04-04 21:00,CCM-OSC-05,140.53,118.36,-1.14,41.92
2026-04-04 22:00,CCM-OSC-05,143.56,120.61,-0.85,43.39
2026-04-04 23:00,CCM-OSC-05,141.46,123.51,-0.81,44.35
2026-04-05 00:00,CCM-OSC-05,151.81,119.2,-0.48,44.39
2026-04-05 01:00,CCM-OSC-05,149.49,126.34,0.7,44.69
2026-04-05 02:00,CCM-OSC-05,165.38,134.97,0.42,46.19
2026-04-05 03:00,CCM-OSC-05,159.46,130.11,1.41,48.16
2026-04-05 04:00,CCM-OSC-05,168.42,129.59,0.49,47.33
2026-04-05 05:00,CCM-OSC-05,168.0,128.62,0.78,46.78
2026-04-05 06:00,CCM-OSC-05,170.15,135.5,1.4,47.14
2026-04-05 07:00,CCM-OSC-05,178.29,133.32,1.83,46.77
2026-04-05 08:00,CCM-OSC-05,152.23,132.52,0.93,47.15
2026-04-05 09:00,CCM-OSC-05,166.64,134.98,0.21,46.67
2026-04-05 10:00,CCM-OSC-05,154.51,133.4,0.2,46.91
2026-04-05 11:00,CCM-OSC-05,157.84,129.69,0.71,45.1
2026-04-05 12:00,CCM-OSC-05,158.83,122.86,-0.56,45.19
2026-04-05 13:00,CCM-OSC-05,149.83,126.72,-0.63,44.5
2026-04-05 14:00,CCM-OSC-05,132.41,119.66,-0.96,44.57
2026-04-05 15:00,CCM-OSC-05,138.22,115.68,-0.98,43.55
2026-04-05 16:00,CCM-OSC-05,128.83,118.82,-1.39,42.46
2026-04-05 17:00,CCM-OSC-05,130.65,126.97,-1.76,41.83
2026-04-05 18:00,CCM-OSC-05,130.18,117.95,-2.23,41.97
2026-04-05 19:00,CCM-OSC-05,134.25,123.62,0.61,42.5
2026-04-05 20:00,CCM-OSC-05,134.9,120.54,-2.22,42.67
2026-04-05 21:00,CCM-OSC-05,138.3,115.47,-1.76,42.73
2026-04-05 22:00,CCM-OSC-05,136.85,116.7,-0.84,43.97
2026-04-05 23:00,CCM-OSC-05,150.03,124.47,-0.46,44.67
2026-04-06 00:00,CCM-OSC-05,154.64,122.13,-0.44,45.19
2026-04-06 01:00,CCM-OSC-05,145.7,130.01,0.49,45.33
2026-04-06 02:00,CCM-OSC-05,164.5,126.83,0.09,47.47
2026-04-06 03:00,CCM-OSC-05,158.38,137.31,1.41,47.08
2026-04-06 04:00,CCM-OSC-05,161.14,135.32,1.45,46.96
2026-04-06 05:00,CCM-OSC-05,181.38,133.32,0.84,47.1
2026-04-06 06:00,CCM-OSC-05,157.32,134.7,0.44,46.6
2026-04-06 07:00,CCM-OSC-05,169.03,133.74,1.14,47.76
2026-04-06 08:00,CCM-OSC-05,170.73,128.49,1.92,47.27
2026-04-06 09:00,CCM-OSC-05,163.23,131.29,0.02,46.78
2026-04-06 10:00,CCM-OSC-05,156.7,125.26,0.66,47.22
2026-04-06 11:00,CCM-OSC-05,159.11,123.65,1.02,46.44
2026-04-06 12:00,CCM-OSC-05,146.44,128.79,-1.45,45.48
2026-04-06 13:00,CCM-OSC-05,150.03,128.82,-0.01,43.9
2026-04-06 14:00,CCM-OSC-05,128.75,125.57,-0.62,45.32
2026-04-06 15:00,CCM-OSC-05,155.26,123.06,-1.42,43.4
2026-04-06 16:00,CCM-OSC-05,129.88,117.89,-1.59,41.28
2026-04-06 17:00,CCM-OSC-05,133.39,115.06,-0.66,43.07
2026-04-06 18:00,CCM-OSC-05,140.88,113.62,-1.39,42.62
2026-04-06 19:00,CCM-OSC-05,129.86,117.91,-1.26,42.19
2026-04-06 20:00,CCM-OSC-05,123.89,112.33,-1.25,45.16
2026-04-06 21:00,CCM-OSC-05,136.48,119.23,0.08,42.53
2026-04-06 22:00,CCM-OSC-05,145.66,113.44,-0.5,43.75
2026-04-06 23:00,CCM-OSC-05,147.27,123.1,-0.19,44.37
2026-04-07 00:00,CCM-OSC-05,146.04,124.64,0.71,44.43
2026-04-07 01:00,CCM-OSC-05,161.41,135.23,0.81,46.59
2026-04-07 02:00,CCM-OSC-05,162.15,122.98,-0.34,45.51
2026-04-07 03:00,CCM-OSC-05,162.37,126.41,0.11,45.88
2026-04-07 04:00,CCM-OSC-05,167.22,134.28,0.48,47.94
