timestamp,asset_id,ram_force,drive_motor_current,rail_temperature,ram_speed
2026-04-01 00:00,COR-03,234.59,233.8,65.52,13.3
2026-04-01 01:00,COR-03,250.3,229.51,69.8,13.74
2026-04-01 02:00,COR-03,259.85,222.38,66.85,14.25
2026-04-01 03:00,COR-03,228.68,227.76,69.7,13.9
2026-04-01 04:00,COR-03,273.22,234.07,71.66,13.99
2026-04-01 05:00,COR-03,254.69,247.46,74.3,14.67
2026-04-01 06:00,COR-03,261.89,250.47,73.19,14.22
2026-04-01 07:00,COR-03,252.85,232.75,74.18,13.89
2026-04-01 08:00,COR-03,241.41,237.37,70.7,13.45
2026-04-01 09:00,COR-03,247.9,224.37,69.94,13.78
2026-04-01 10:00,COR-03,246.6,229.15,71.68,13.01
2026-04-01 11:00,COR-03,210.39,225.16,66.03,13.58
2026-04-01 12:00,COR-03,209.07,216.5,62.13,12.63
2026-04-01 13:00,COR-03,213.25,213.37,62.44,13.67
2026-04-01 14:00,COR-03,225.64,204.06,61.32,12.22
2026-04-01 15:00,COR-03,203.97,202.29,66.81,12.25
2026-04-01 16:00,COR-03,193.61,201.85,57.09,11.67
2026-04-01 17:00,COR-03,208.47,196.44,58.95,11.44
2026-04-01 18:00,COR-03,170.78,175.53,62.23,11.66
2026-04-01 19:00,COR-03,170.12,195.0,63.56,12.35
2026-04-01 20:00,COR-03,178.16,201.73,56.56,11.7
2026-04-01 21:00,COR-03,200.4,211.66,58.42,12.69
2026-04-01 22:00,COR-03,198.73,229.01,61.15,12.12
2026-04-01 23:00,COR-03,223.51,219.42,61.95,13.48
2026-04-02 00:00,COR-03,198.29,216.89,62.9,12.77
2026-04-02 01:00,COR-03,230.99,220.7,69.67,13.08
2026-04-02 02:00,COR-03,250.42,230.04,68.66,13.75
2026-04-02 03:00,COR-03,236.8,227.73,68.51,14.6
2026-04-02 04:00,COR-03,232.1,264.26,71.29,13.76
2026-04-02 05:00,COR-03,244.6,234.28,73.12,15.21
2026-04-02 06:00,COR-03,240.49,246.72,69.92,14.28
2026-04-02 07:00,COR-03,254.23,248.9,75.21,14.08
2026-04-02 08:00,COR-03,258.39,237.64,73.43,14.04
2026-04-02 09:00,COR-03,265.07,218.5,69.95,13.46
2026-04-02 10:00,COR-03,238.62,230.91,71.56,13.66
2026-04-02 11:00,COR-03,220.8,220.38,64.47,13.24
2026-04-02 12:00,COR-03,238.7,216.26,67.18,13.76
2026-04-02 13:00,COR-03,223.66,221.52,66.05,12.49
2026-04-02 14:00,COR-03,209.14,209.48,64.02,11.66
2026-04-02 15:00,COR-03,192.52,208.79,60.07,12.16
2026-04-02 16:00,COR-03,203.92,189.28,59.37,12.19
2026-04-02 17:00,COR-03,196.73,211.75,63.24,11.84
2026-04-02 18:00,COR-03,190.92,191.95,60.37,11.4
2026-04-02 19:00,COR-03,192.76,179.03,59.2,11.56
2026-04-02 20:00,COR-03,169.94,207.06,54.76,12.1
2026-04-02 21:00,COR-03,205.62,198.77,63.24,12.88
2026-04-02 22:00,COR-03,218.14,194.95,57.07,12.37
2026-04-02 23:00,COR-03,211.59,217.59,59.4,11.99
2026-04-03 00:00,COR-03,246.95,230.42,66.5,12.78
2026-04-03 01:00,COR-03,239.44,234.98,66.93,12.84
2026-04-03 02:00,COR-03,228.26,236.51,70.8,13.75
2026-04-03 03:00,COR-03,259.88,247.28,70.4,12.88
2026-04-03 04:00,COR-03,266.96,253.42,70.84,13.26
2026-04-03 05:00,COR-03,239.06,239.63,65.88,14.03
2026-04-03 06:00,COR-03,256.42,260.91,72.01,14.42
2026-04-03 07:00,COR-03,245.28,265.82,69.16,14.13
2026-04-03 08:00,COR-03,253.0,237.7,73.2,13.91
2026-04-03 09:00,COR-03,237.44,253.6,70.66,15.0
2026-04-03 10:00,COR-03,235.1,232.98,66.84,14.61
2026-04-03 11:00,COR-03,236.38,227.16,64.35,12.93
2026-04-03 12:00,COR-03,230.18,227.3,65.43,12.3
2026-04-03 13:00,COR-03,219.4,189.36,61.58,12.72
2026-04-03 14:00,COR-03,231.6,196.54,63.15,13.42
2026-04-03 15:00,COR-03,207.15,193.34,63.27,12.49
2026-04-03 16:00,COR-03,198.21,194.17,57.7,12.86
2026-04-03 17:00,COR-03,196.31,169.27,59.19,11.74
2026-04-03 18:00,COR-03,217.42,184.51,58.38,12.66
2026-04-03 19:00,COR-03,210.44,185.47,57.57,11.99
