timestamp,asset_id,discharge_pressure,flow_rate,bearing_temperature,vibration,motor_current
2026-04-01 00:00,CWP-04,5.94,495.62,55.65,2.49,149.66
2026-04-01 01:00,CWP-04,6.81,500.06,64.29,2.68,166.01
2026-04-01 02:00,CWP-04,7.25,532.28,58.39,3.17,175.38
2026-04-01 03:00,CWP-04,7.4,500.47,62.53,2.93,156.32
2026-04-01 04:00,CWP-04,7.24,573.34,64.26,3.34,169.96
2026-04-01 05:00,CWP-04,7.19,537.18,64.54,3.3,173.29
2026-04-01 06:00,CWP-04,7.03,563.73,65.64,3.59,182.21
2026-04-01 07:00,CWP-04,7.35,559.64,65.21,3.42,159.91
2026-04-01 08:00,CWP-04,6.88,544.26,62.69,2.7,167.11
2026-04-01 09:00,CWP-04,7.38,519.0,64.79,3.05,154.84
2026-04-01 10:00,CWP-04,6.92,508.5,67.11,2.97,157.18
2026-04-01 11:00,CWP-04,6.69,498.44,59.98,2.78,144.76
2026-04-01 12:00,CWP-04,6.89,530.93,58.19,2.28,150.0
2026-04-01 13:00,CWP-04,6.73,513.0,58.57,2.34,161.2
2026-04-01 14:00,CWP-04,6.1,477.78,53.91,2.53,140.52
2026-04-01 15:00,CWP-04,5.84,446.08,57.34,2.3,124.29
2026-04-01 16:00,CWP-04,5.76,434.79,50.72,2.2,125.65
2026-04-01 17:00,CWP-04,5.87,445.43,52.58,2.34,144.65
2026-04-01 18:00,CWP-04,5.87,447.79,53.02,2.1,121.06
2026-04-01 19:00,CWP-04,5.88,440.9,58.07,2.21,134.56
2026-04-01 20:00,CWP-04,6.36,483.24,55.81,2.32,128.57
2026-04-01 21:00,CWP-04,6.27,471.14,56.58,2.31,146.36
2026-04-01 22:00,CWP-04,6.08,470.43,58.17,2.19,153.85
2026-04-01 23:00,CWP-04,6.4,473.69,57.29,2.41,141.72
2026-04-02 00:00,CWP-04,6.78,525.76,62.52,2.74,152.04
2026-04-02 01:00,CWP-04,6.85,550.04,62.58,2.72,166.72
2026-04-02 02:00,CWP-04,6.73,522.24,64.1,3.02,144.74
2026-04-02 03:00,CWP-04,6.65,538.95,63.38,2.83,159.09
2026-04-02 04:00,CWP-04,7.01,535.73,60.62,2.91,153.63
2026-04-02 05:00,CWP-04,7.57,541.91,67.05,3.05,177.48
2026-04-02 06:00,CWP-04,6.93,524.41,63.38,2.98,166.79
2026-04-02 07:00,CWP-04,7.15,507.06,65.33,2.92,160.53
2026-04-02 08:00,CWP-04,6.74,529.3,61.07,3.29,159.41
2026-04-02 09:00,CWP-04,7.0,544.9,62.32,3.19,159.9
