timestamp,asset_id,winding_temperature,vibration_de,vibration_nde,bearing_temperature,motor_current
2026-04-01 00:00,HSM-M-01,86.45,2.89,2.74,69.65,1178.78
2026-04-01 01:00,HSM-M-01,87.5,2.48,3.25,68.23,1166.38
2026-04-01 02:00,HSM-M-01,88.29,3.0,3.1,64.83,1238.62
2026-04-01 03:00,HSM-M-01,88.06,3.23,3.19,68.15,1263.26
2026-04-01 04:00,HSM-M-01,89.37,3.33,3.27,70.47,1292.51
2026-04-01 05:00,HSM-M-01,91.16,2.99,3.12,69.44,1285.46
2026-04-01 06:00,HSM-M-01,95.18,3.06,3.34,70.36,1310.49
2026-04-01 07:00,HSM-M-01,88.64,3.26,2.91,71.54,1312.71
2026-04-01 08:00,HSM-M-01,87.78,3.25,3.29,69.68,1252.34
2026-04-01 09:00,HSM-M-01,89.75,3.25,3.13,71.8,1346.16
2026-04-01 10:00,HSM-M-01,87.76,2.96,3.01,66.17,1224.83
2026-04-01 11:00,HSM-M-01,87.01,2.91,2.61,66.71,1241.5
2026-04-01 12:00,HSM-M-01,86.3,3.06,2.49,63.66,1184.38
2026-04-01 13:00,HSM-M-01,83.55,2.56,2.7,66.34,1223.56
2026-04-01 14:00,HSM-M-01,81.75,2.88,2.5,60.93,1133.71
2026-04-01 15:00,HSM-M-01,81.25,2.21,2.45,55.45,1092.6
2026-04-01 16:00,HSM-M-01,83.9,2.51,2.23,61.15,1017.96
2026-04-01 17:00,HSM-M-01,82.9,2.4,2.43,58.92,1178.18
2026-04-01 18:00,HSM-M-01,79.95,2.27,2.26,60.68,1082.17
2026-04-01 19:00,HSM-M-01,79.8,2.49,2.68,60.07,1119.85
2026-04-01 20:00,HSM-M-01,84.9,2.26,2.35,60.35,1104.49
2026-04-01 21:00,HSM-M-01,84.66,2.12,2.55,62.91,1103.3
2026-04-01 22:00,HSM-M-01,85.58,2.57,2.32,63.84,1138.54
2026-04-01 23:00,HSM-M-01,85.02,2.76,2.77,62.13,1129.84
2026-04-02 00:00,HSM-M-01,84.01,2.96,3.01,64.45,1195.31
2026-04-02 01:00,HSM-M-01,88.9,2.78,2.65,65.13,1257.53
2026-04-02 02:00,HSM-M-01,88.93,3.03,2.89,65.98,1297.79
2026-04-02 03:00,HSM-M-01,88.02,3.12,2.97,64.8,1305.9
2026-04-02 04:00,HSM-M-01,94.31,3.12,3.09,65.75,1309.63
2026-04-02 05:00,HSM-M-01,89.77,2.88,3.07,71.84,1270.43
2026-04-02 06:00,HSM-M-01,89.72,3.25,3.14,70.48,1348.75
2026-04-02 07:00,HSM-M-01,91.22,3.12,3.3,68.38,1294.56
2026-04-02 08:00,HSM-M-01,91.79,2.93,3.32,70.69,1244.8
2026-04-02 09:00,HSM-M-01,88.15,2.89,2.9,69.99,1288.07
2026-04-02 10:00,HSM-M-01,91.22,3.04,2.94,65.07,1287.92
2026-04-02 11:00,HSM-M-01,81.88,3.04,2.84,69.02,1212.61
2026-04-02 12:00,HSM-M-01,87.2,2.48,2.89,64.79,1194.89
2026-04-02 13:00,HSM-M-01,86.04,2.23,2.77,62.71,1173.59
2026-04-02 14:00,HSM-M-01,79.14,2.44,2.45,64.43,1197.04
