timestamp,asset_id,vibration,bearing_temperature,motor_current,inlet_pressure
2026-04-01 00:00,SP-IDF-03,3.77,58.91,351.73,-910.74
2026-04-01 01:00,SP-IDF-03,4.08,64.15,355.61,-934.16
2026-04-01 02:00,SP-IDF-03,3.51,63.72,342.19,-919.88
2026-04-01 03:00,SP-IDF-03,4.13,63.81,361.82,-931.63
2026-04-01 04:00,SP-IDF-03,4.16,62.19,370.95,-857.05
2026-04-01 05:00,SP-IDF-03,4.48,61.75,338.36,-846.53
2026-04-01 06:00,SP-IDF-03,3.64,65.15,382.15,-866.56
2026-04-01 07:00,SP-IDF-03,3.95,66.14,395.26,-867.55
2026-04-01 08:00,SP-IDF-03,4.01,63.21,367.73,-945.6
2026-04-01 09:00,SP-IDF-03,4.25,60.86,363.72,-903.43
2026-04-01 10:00,SP-IDF-03,3.91,60.1,372.63,-896.43
2026-04-01 11:00,SP-IDF-03,4.05,63.84,324.48,-858.12
2026-04-01 12:00,SP-IDF-03,3.57,58.11,329.48,-900.85
2026-04-01 13:00,SP-IDF-03,3.17,57.53,322.51,-1018.56
2026-04-01 14:00,SP-IDF-03,3.29,60.01,321.4,-950.25
2026-04-01 15:00,SP-IDF-03,2.97,54.09,310.87,-1022.57
2026-04-01 16:00,SP-IDF-03,3.19,53.22,305.2,-998.61
2026-04-01 17:00,SP-IDF-03,2.47,55.15,310.24,-964.81
2026-04-01 18:00,SP-IDF-03,3.15,48.92,284.28,-1010.53
2026-04-01 19:00,SP-IDF-03,3.01,57.02,284.0,-1006.62
2026-04-01 20:00,SP-IDF-03,2.67,54.66,337.9,-1019.58
2026-04-01 21:00,SP-IDF-03,2.85,56.22,320.5,-968.87
2026-04-01 22:00,SP-IDF-03,2.87,59.73,314.89,-977.91
2026-04-01 23:00,SP-IDF-03,3.13,58.61,333.36,-969.1
2026-04-02 00:00,SP-IDF-03,3.53,58.64,346.19,-935.38
2026-04-02 01:00,SP-IDF-03,3.56,60.55,334.39,-919.88
2026-04-02 02:00,SP-IDF-03,3.95,63.37,371.14,-881.31
2026-04-02 03:00,SP-IDF-03,4.19,65.15,353.32,-937.84
2026-04-02 04:00,SP-IDF-03,4.08,65.96,389.78,-903.35
2026-04-02 05:00,SP-IDF-03,3.87,67.93,370.32,-890.72
2026-04-02 06:00,SP-IDF-03,3.88,64.27,372.56,-866.91
2026-04-02 07:00,SP-IDF-03,4.04,66.59,386.26,-896.99
2026-04-02 08:00,SP-IDF-03,4.04,63.62,343.47,-875.37
2026-04-02 09:00,SP-IDF-03,3.54,63.05,352.82,-870.68
2026-04-02 10:00,SP-IDF-03,3.77,60.38,378.75,-883.05
2026-04-02 11:00,SP-IDF-03,3.54,61.16,358.49,-921.64
